# COLUMN NUMBERS: 
#	0: time [Gyr]
#	1: mgas [Msun]			ISM gas mass
#	2: mstar [Msun]			Stellar mass
#	3: sfr [Msun/yr]		Star formation rate
#	4: ifr [Msun/yr]		Infall rate
#	5: ofr [Msun/yr]		Outfow rate
#	6: eta_0			Mass-loading factor
#	7: r_eff			Effective recycilng rate
#	8: z_in(fe)			Inflow fe metallicity
#	9: z_in(sr)			Inflow sr metallicity
#	10: z_in(o)			Inflow o metallicity
#	11: z_out(fe)			Outflow fe metallicity
#	12: z_out(sr)			Outflow sr metallicity
#	13: z_out(o)			Outflow o metallicity
#	14: mass(fe) [Msun]		mass of element fe in ISM
#	15: mass(sr) [Msun]		mass of element sr in ISM
#	16: mass(o) [Msun]		mass of element o in ISM
0.000000e+00	6.774622e+09	9.256525e+07	1.023693e+01	nan	-nan	1.847345e+00	9.577127e-02	0.000000e+00	0.000000e+00	0.000000e+00	-nan	-nan	-nan	0.000000e+00	0.000000e+00	0.000000e+00	
6.200000e-01	6.189979e+09	4.133212e+09	7.886390e+00	1.877923e+01	1.456889e+01	1.847345e+00	3.179764e-01	0.000000e+00	0.000000e+00	0.000000e+00	7.200723e-04	1.337097e-08	5.216687e-03	4.457233e+06	8.276604e+01	3.229118e+07	
6.300000e-01	6.178611e+09	4.131148e+09	7.853319e+00	1.871659e+01	1.450779e+01	1.847345e+00	3.150392e-01	0.000000e+00	0.000000e+00	0.000000e+00	7.241443e-04	1.349931e-08	5.240821e-03	4.474206e+06	8.340701e+01	3.238099e+07	
6.400000e-01	6.167196e+09	4.129301e+09	7.820387e+00	1.865173e+01	1.444695e+01	1.847345e+00	3.123687e-01	0.000000e+00	0.000000e+00	0.000000e+00	7.278120e-04	1.362887e-08	5.264100e-03	4.488559e+06	8.405189e+01	3.246474e+07	
6.500000e-01	6.155735e+09	4.127652e+09	7.787595e+00	1.858505e+01	1.438638e+01	1.847345e+00	3.099276e-01	0.000000e+00	0.000000e+00	0.000000e+00	7.311162e-04	1.375967e-08	5.286568e-03	4.500558e+06	8.470088e+01	3.254272e+07	
6.600000e-01	6.144230e+09	4.118954e+09	7.754941e+00	1.851684e+01	1.432605e+01	1.847345e+00	3.073491e-01	0.000000e+00	0.000000e+00	0.000000e+00	7.340928e-04	1.389178e-08	5.308265e-03	4.510435e+06	8.535428e+01	3.261520e+07	
6.700000e-01	6.132680e+09	4.110478e+09	7.722426e+00	1.844999e+01	1.426599e+01	1.847345e+00	3.049620e-01	0.000000e+00	0.000000e+00	0.000000e+00	7.367439e-04	1.402522e-08	5.329223e-03	4.518215e+06	8.601220e+01	3.268242e+07	
6.800000e-01	6.121088e+09	4.102208e+09	7.690048e+00	1.838194e+01	1.420617e+01	1.847345e+00	3.027439e-01	0.000000e+00	0.000000e+00	0.000000e+00	7.390994e-04	1.416007e-08	5.349478e-03	4.524092e+06	8.667501e+01	3.274462e+07	
6.900000e-01	6.109454e+09	4.094131e+09	7.657807e+00	1.831287e+01	1.414661e+01	1.847345e+00	3.006760e-01	0.000000e+00	0.000000e+00	0.000000e+00	7.411860e-04	1.429638e-08	5.369061e-03	4.528242e+06	8.734307e+01	3.280203e+07	
7.000000e-01	6.097778e+09	4.086235e+09	7.625702e+00	1.824295e+01	1.408730e+01	1.847345e+00	2.987425e-01	0.000000e+00	0.000000e+00	0.000000e+00	7.430276e-04	1.443422e-08	5.388003e-03	4.530818e+06	8.801669e+01	3.285485e+07	
7.100000e-01	6.086063e+09	4.070792e+09	7.593734e+00	1.817231e+01	1.402825e+01	1.847345e+00	2.968093e-01	0.000000e+00	0.000000e+00	0.000000e+00	7.446455e-04	1.457365e-08	5.406333e-03	4.531959e+06	8.869617e+01	3.290328e+07	
7.200000e-01	6.074308e+09	4.063238e+09	7.561900e+00	1.810197e+01	1.396944e+01	1.847345e+00	2.951072e-01	0.000000e+00	0.000000e+00	0.000000e+00	7.460490e-04	1.471383e-08	5.424074e-03	4.531731e+06	8.937636e+01	3.294750e+07	
7.300000e-01	6.062515e+09	4.055836e+09	7.530202e+00	1.803019e+01	1.391088e+01	1.847345e+00	2.935039e-01	0.000000e+00	0.000000e+00	0.000000e+00	7.472657e-04	1.485443e-08	5.441255e-03	4.530309e+06	9.005521e+01	3.298769e+07	
7.400000e-01	6.050684e+09	4.048578e+09	7.498637e+00	1.795799e+01	1.385257e+01	1.847345e+00	2.919905e-01	0.000000e+00	0.000000e+00	0.000000e+00	7.483112e-04	1.499500e-08	5.457900e-03	4.527795e+06	9.073002e+01	3.302403e+07	
7.500000e-01	6.038817e+09	4.041458e+09	7.467206e+00	1.788544e+01	1.379451e+01	1.847345e+00	2.905591e-01	0.000000e+00	0.000000e+00	0.000000e+00	7.491999e-04	1.513517e-08	5.474031e-03	4.524280e+06	9.139854e+01	3.305667e+07	
7.600000e-01	6.026913e+09	4.034469e+09	7.435907e+00	1.781261e+01	1.373669e+01	1.847345e+00	2.892031e-01	0.000000e+00	0.000000e+00	0.000000e+00	7.499445e-04	1.527464e-08	5.489671e-03	4.519850e+06	9.205890e+01	3.308577e+07	
7.700000e-01	6.014975e+09	4.027604e+09	7.404742e+00	1.773955e+01	1.367911e+01	1.847345e+00	2.879162e-01	0.000000e+00	0.000000e+00	0.000000e+00	7.505569e-04	1.541312e-08	5.504838e-03	4.514581e+06	9.270951e+01	3.311146e+07	
7.800000e-01	6.003003e+09	4.020858e+09	7.373708e+00	1.766631e+01	1.362178e+01	1.847345e+00	2.866931e-01	0.000000e+00	0.000000e+00	0.000000e+00	7.510480e-04	1.555039e-08	5.519553e-03	4.508543e+06	9.334902e+01	3.313389e+07	
7.900000e-01	5.990997e+09	4.014226e+09	7.342805e+00	1.759294e+01	1.356470e+01	1.847345e+00	2.855290e-01	0.000000e+00	0.000000e+00	0.000000e+00	7.514275e-04	1.568625e-08	5.533833e-03	4.501800e+06	9.397626e+01	3.315318e+07	
8.000000e-01	5.978959e+09	4.007704e+09	7.312033e+00	1.751948e+01	1.350785e+01	1.847345e+00	2.844194e-01	0.000000e+00	0.000000e+00	0.000000e+00	7.517047e-04	1.582052e-08	5.547697e-03	4.494412e+06	9.459024e+01	3.316945e+07	
8.100000e-01	5.966889e+09	4.001285e+09	7.281391e+00	1.744595e+01	1.345124e+01	1.847345e+00	2.833606e-01	0.000000e+00	0.000000e+00	0.000000e+00	7.518878e-04	1.595305e-08	5.561161e-03	4.486431e+06	9.519010e+01	3.318283e+07	
8.200000e-01	5.954788e+09	3.994967e+09	7.250878e+00	1.737240e+01	1.339487e+01	1.847345e+00	2.823491e-01	0.000000e+00	0.000000e+00	0.000000e+00	7.519846e-04	1.608371e-08	5.574240e-03	4.477909e+06	9.577511e+01	3.319342e+07	
8.300000e-01	5.942657e+09	3.988746e+09	7.220495e+00	1.729885e+01	1.333875e+01	1.847345e+00	2.813815e-01	0.000000e+00	0.000000e+00	0.000000e+00	7.520021e-04	1.621239e-08	5.586949e-03	4.468891e+06	9.634466e+01	3.320132e+07	
